Id,Predicted
0,3
1,9
10,3
100,9
101,4
102,7
103,1
104,0
105,2
106,0
107,1
108,6
109,5
11,4
110,3
111,5
112,2
113,1
114,8
115,1
116,5
117,9
118,9
119,6
12,1
120,4
121,9
122,8
123,8
124,4
125,3
126,8
127,0
128,5
129,2
13,8
130,7
131,6
132,3
133,5
134,6
135,8
136,2
137,0
138,5
139,2
14,2
140,2
141,8
142,1
143,4
144,2
145,2
146,9
147,6
148,8
149,0
15,6
150,6
151,6
152,8
153,6
154,7
155,7
156,5
157,9
158,7
159,9
16,4
160,5
161,4
162,6
163,2
164,7
165,7
166,2
167,8
168,9
169,0
17,6
170,3
171,9
172,5
173,0
174,2
175,8
176,0
177,2
178,8
179,4
18,7
180,9
181,9
182,5
183,7
184,1
185,7
186,8
187,4
188,4
189,1
19,3
190,7
191,9
192,6
193,6
194,6
195,6
196,1
197,6
198,7
199,9
2,2
20,3
200,2
201,9
202,1
203,3
204,5
205,4
206,8
207,2
208,7
209,5
21,7
210,2
211,3
212,6
213,8
214,8
215,3
216,6
217,6
218,6
219,8
22,4
220,3
221,6
222,4
223,1
224,1
225,4
226,4
227,8
228,6
229,6
23,9
230,7
231,9
232,6
233,6
234,2
235,5
236,5
237,1
238,7
239,6
24,3
240,3
241,2
242,6
243,9
244,0
245,1
246,6
247,5
248,2
249,5
25,5
250,6
251,9
252,8
253,9
254,9
255,1
256,3
257,1
258,7
259,8
26,8
260,7
261,7
262,4
263,0
264,7
265,4
266,2
267,9
268,2
269,4
27,4
270,7
271,9
272,3
273,6
274,7
275,2
276,5
277,1
278,5
279,8
28,9
280,4
281,0
282,6
283,1
284,8
285,5
286,2
287,3
288,4
289,2
29,7
290,7
291,8
292,7
293,8
294,2
295,0
296,8
297,9
298,9
299,8
3,1
30,6
300,7
301,9
302,4
303,2
304,1
305,4
306,8
307,8
308,6
309,2
31,1
310,3
311,2
312,0
313,5
314,6
315,7
316,2
317,7
318,8
319,6
32,5
320,1
321,3
322,6
323,6
324,2
325,5
326,3
327,5
328,8
329,4
33,8
330,8
331,7
332,2
333,5
334,1
335,0
336,6
337,8
338,3
339,0
34,9
340,6
341,3
342,2
343,5
344,6
345,0
346,1
347,3
348,2
349,6
35,1
350,9
351,2
352,9
353,8
354,1
355,7
356,6
357,4
358,4
359,2
36,1
360,4
361,9
362,6
363,1
364,6
365,8
366,8
367,1
368,5
369,4
37,0
370,5
371,7
372,3
373,2
374,4
375,4
376,8
377,1
378,3
379,2
38,5
380,8
381,8
382,0
383,1
384,0
385,5
386,9
387,9
388,8
389,1
39,0
390,0
391,5
392,6
393,8
394,5
395,1
396,1
397,2
398,5
399,4
4,1
40,7
400,1
401,4
402,9
403,1
404,7
405,5
406,7
407,5
408,5
409,5
41,3
410,5
411,5
412,3
413,0
414,0
415,9
416,1
417,1
418,7
419,9
42,7
420,5
421,7
422,6
423,3
424,8
425,1
426,6
427,4
428,5
429,6
43,6
430,6
431,0
432,3
433,6
434,6
435,7
436,3
437,0
438,8
439,6
44,8
440,9
441,1
442,2
443,4
444,8
445,2
446,9
447,6
448,3
449,3
45,3
450,6
451,9
452,7
453,4
454,1
455,2
456,5
457,9
458,8
459,8
46,0
460,2
461,0
462,1
463,7
464,6
465,9
466,2
467,6
468,9
469,4
47,7
470,2
471,1
472,9
473,6
474,0
475,1
476,9
477,8
478,5
479,6
48,0
480,3
481,2
482,3
483,7
484,6
485,7
486,0
487,5
488,5
489,6
49,7
490,9
491,6
492,8
493,8
494,5
495,1
496,6
497,1
498,7
499,8
5,9
50,2
51,0
52,6
53,3
54,0
55,5
56,7
57,1
58,7
59,2
6,6
60,3
61,6
62,0
63,2
64,7
65,1
66,9
67,6
68,1
69,2
7,1
70,6
71,6
72,9
73,2
74,4
75,9
76,6
77,1
78,6
79,8
8,5
80,7
81,7
82,9
83,6
84,1
85,7
86,8
87,1
88,1
89,2
9,8
90,4
91,2
92,7
93,3
94,7
95,2
96,7
97,4
98,5
99,1
